ts,sessionId,page,auth,level,itemInSession,city,zip,state,userAgent,lon,lat,userId,lastName,firstName,gender,registration,artist,song,duration
1707513647,7708,/discover,Logged In,paid,9,North Matthew,X5X3G7,SK,"Mozilla/5.0 (iPhone; CPU iPhone OS 17_2 like Mac OS X) AppleWebKit/535.0 (KHTML, like Gecko) CriOS/63.0.866.0 Mobile/13A204 Safari/535.0",-139.005556,24.4519335,76409.0,Phillips,Jasmine,M,1705794846.0,Mariah Carey,Hero,254
1708758564,4956,/songs,Logged Out,free,65,da Rocha,,PI,"Mozilla/5.0 (Windows; U; Windows NT 10.0) AppleWebKit/533.22.1 (KHTML, like Gecko) Version/5.1 Safari/533.22.1",78.412299,22.170062,,,,,,Madonna,Like a Prayer,270
1708718954,7519,/songs,Logged In,free,7,Elen,6912,,"Mozilla/5.0 (iPad; CPU iPad OS 17_1_2 like Mac OS X) AppleWebKit/534.0 (KHTML, like Gecko) CriOS/20.0.887.0 Mobile/00U992 Safari/534.0",-20.878769,-55.8794045,53889.0,Johnson,Steven,M,1708853259.0,Taylor Swift,Bad Blood,235
1704991236,6088,/discover,Logged In,paid,97,CousinBourg,66981,,Mozilla/5.0 (Windows 98; Win 9x 4.90; nan-TW; rv:1.9.0.20) Gecko/5067-03-28 11:31:24 Firefox/14.0,9.24862,-71.1210775,24790.0,Johnson,Philip,F,1705216795.0,Michael Jackson,Billie Jean,242
1708969127,164,/new-releases,Logged Out,free,30,Deftinge,,,Mozilla/5.0 (compatible; MSIE 5.0; Windows NT 6.0; Trident/3.0),-178.264779,-35.0268885,,,,,,Prince,When Doves Cry,266
1707472270,7440,/artists,Logged In,paid,15,Saint Théodoreboeuf,88125,,Opera/9.52.(Windows NT 6.2; hy-AM) Presto/2.9.160 Version/10.00,74.138798,-11.447199,79279.0,Hall,Donald,M,1704844357.0,Frank Sinatra,Fly Me to the Moon,254
1704346945,8737,/albums,Logged In,free,75,Sharonside,43359,SC,Mozilla/5.0 (compatible; MSIE 6.0; Windows NT 5.01; Trident/3.0),-60.375806,-5.203543,24124.0,Watkins,Christopher,M,1705593515.0,The Rolling Stones,Paint It Black,182
1707565430,2332,/albums,Logged In,paid,76,East Kari,X7G2A2,NL,Opera/9.91.(Windows NT 6.1; lij-IT) Presto/2.9.167 Version/11.00,104.116006,-74.4690985,17305.0,Fisher,Andrea,F,1707344017.0,Bruce Springsteen,The River,218
1708141304,7231,/explore,Logged Out,free,27,Ortizchester,,VA,Mozilla/5.0 (compatible; MSIE 7.0; Windows NT 5.1; Trident/3.0),-121.687621,-15.6513655,,,,,,Prince,Purple Rain,220
1705993299,5577,/explore,Logged Out,free,67,Novais,,RN,"Mozilla/5.0 (iPad; CPU iPad OS 13_5_1 like Mac OS X) AppleWebKit/533.0 (KHTML, like Gecko) FxiOS/17.1n4892.0 Mobile/79J703 Safari/533.0",32.727036,29.3422565,,,,,,Adele,Someone Like You,185
1708281596,3212,/new-releases,Logged Out,free,77,Lake Johnnyport,,VI,"Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_7_9) AppleWebKit/531.0 (KHTML, like Gecko) Chrome/46.0.880.0 Safari/531.0",-23.097239,28.746347,,,,,,Ed Sheeran,Thinking Out Loud,182
1706180645,5801,/new-releases,Logged Out,free,81,Nunes Grande,,CE,Opera/9.73.(X11; Linux x86_64; gu-IN) Presto/2.9.175 Version/12.00,170.06908,-73.8342505,,,,,,Frank Sinatra,Strangers in the Night,259
1704774199,5823,/new-releases,Logged In,paid,61,Ribeiro-les-Bains,95607,,Opera/9.10.(X11; Linux i686; sat-IN) Presto/2.9.181 Version/10.00,13.95982,-78.946402,6869.0,Clay,Jason,F,1705069503.0,Bob Dylan,Like a Rolling Stone,230
1705089794,5419,/artists,Logged In,paid,54,Pinto,43294-316-686,AC,Opera/8.36.(Windows NT 5.1; zu-ZA) Presto/2.9.176 Version/11.00,-79.699394,29.218718,60411.0,Moran,Patrick,F,1707239012.0,Ed Sheeran,Perfect,241
1707501543,7198,/songs,Logged In,free,27,Kristinafurt,64982,NE,"Mozilla/5.0 (Macintosh; PPC Mac OS X 10_8_9 rv:4.0; lt-LT) AppleWebKit/531.25.1 (KHTML, like Gecko) Version/4.0 Safari/531.25.1",-151.041173,79.6188435,51058.0,Blair,Laura,F,1708768297.0,Madonna,Vogue,201
1704721745,718,/explore,Logged In,free,7,Carpenterfort,92790,KS,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_8_5; rv:1.9.2.20) Gecko/2058-08-10 18:19:32 Firefox/8.0,97.508866,13.25954,62345.0,Lewis,Joseph,F,1704319486.0,Michael Jackson,Beat It,244
1705564181,9044,/my-music,Logged In,free,10,Leduc,44992,,"Mozilla/5.0 (Linux; Android 2.2.2) AppleWebKit/534.1 (KHTML, like Gecko) Chrome/40.0.871.0 Safari/534.1",-61.861287,-55.6173175,93387.0,Allen,Kevin,F,1708742591.0,Bob Dylan,Mr. Tambourine Man,209
1708420511,4861,/my-music,Logged In,paid,100,Jupille-sur-Meuse,9561,,Opera/8.25.(X11; Linux x86_64; se-NO) Presto/2.9.168 Version/10.00,150.106707,-63.451528,37422.0,Bishop,Kristina,M,1708544455.0,Whitney Houston,Saving All My Love for You,249
1707455487,6303,/explore,Logged Out,free,83,Siqueira,,PA,Mozilla/5.0 (compatible; MSIE 5.0; Windows NT 6.2; Trident/5.1),-56.754465,56.736886,,,,,,Bruce Springsteen,Born to Run,282
1708885295,5039,/songs,Logged Out,free,87,Zeveren,,,Mozilla/5.0 (compatible; MSIE 6.0; Windows NT 5.0; Trident/5.1),-26.008753,66.245649,,,,,,Michael Jackson,Smooth Criminal,269
1707342566,1253,/explore,Logged In,free,18,Carvalho,88559026-601,SE,Mozilla/5.0 (X11; Linux i686; rv:1.9.7.20) Gecko/8302-09-23 00:25:53 Firefox/3.8,-10.12296,-11.689823,20349.0,Daugherty,William,F,1708103252.0,The Rolling Stones,Gimme Shelter,291
1707408564,4090,/songs,Logged Out,free,44,Lopez-sur-Mer,,,Opera/9.12.(X11; Linux i686; hy-AM) Presto/2.9.181 Version/10.00,11.318194,63.972727,,,,,,Whitney Houston,Saving All My Love for You,249
1706928215,1023,/new-releases,Logged In,free,45,Siqueira,50700300-833,RS,Opera/9.32.(Windows CE; niu-NZ) Presto/2.9.164 Version/11.00,168.469862,-1.734884,29593.0,Dougherty,Mark,F,1706742526.0,Madonna,Frozen,192
1707565086,8706,/new-releases,Logged Out,free,95,Nettinne,,,Opera/8.10.(X11; Linux i686; sq-AL) Presto/2.9.173 Version/11.00,88.733028,-52.894916,,,,,,Elton John,Rocket Man,188
1708365517,4044,/new-releases,Logged Out,free,3,North Mark,,MP,Mozilla/5.0 (Windows NT 5.0; iw-IL; rv:1.9.1.20) Gecko/8917-03-15 20:27:49 Firefox/14.0,105.504268,63.1422385,,,,,,Ed Sheeran,Castle on the Hill,251
1707977725,562,/explore,Logged Out,free,33,Sarahton,,NU,"Mozilla/5.0 (iPod; U; CPU iPhone OS 4_1 like Mac OS X; ht-HT) AppleWebKit/533.44.7 (KHTML, like Gecko) Version/3.0.5 Mobile/8B116 Safari/6533.44.7",-175.118703,67.0166755,,,,,,Prince,Little Red Corvette,275
1707285662,6614,/discover,Logged In,paid,77,New Ericstad,38667,MN,Opera/9.26.(X11; Linux i686; aa-DJ) Presto/2.9.178 Version/10.00,3.25882,-87.4987895,82014.0,Carter,Troy,M,1708662659.0,The Rolling Stones,Sympathy for the Devil,203
1707059809,9498,/songs,Logged In,free,15,Rios de Ribeiro,93186-428-497,SP,"Mozilla/5.0 (Windows; U; Windows 95) AppleWebKit/535.39.4 (KHTML, like Gecko) Version/5.0.3 Safari/535.39.4",-176.817664,47.2621525,22264.0,Brown,Danielle,M,1704617448.0,Rihanna,Work,295
1706960806,596,/artists,Logged In,free,72,Peltier,89900,,Opera/8.90.(X11; Linux i686; an-ES) Presto/2.9.176 Version/10.00,10.306338,78.527844,73831.0,Cruz,Steven,F,1708366760.0,Adele,Skyfall,198
1706522486,3034,/songs,Logged Out,free,98,Ruisbroek,,,Opera/9.75.(Windows NT 6.0; niu-NU) Presto/2.9.183 Version/12.00,-126.086545,-39.459129,,,,,,Prince,1999,187
1708005994,7164,/discover,Logged In,free,97,Besnard,09536,,Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 5.0; Trident/3.1),-163.821743,42.2093145,83198.0,Foster,Joseph,F,1707026290.0,Prince,Purple Rain,220
1708685605,2218,/albums,Logged In,free,6,Port Johnfurt,B3T5P6,NS,"Mozilla/5.0 (Windows NT 11.0) AppleWebKit/535.1 (KHTML, like Gecko) Chrome/14.0.840.0 Safari/535.1",-112.6858,-54.041419,3186.0,Sanders,Samantha,F,1704577185.0,Pink Floyd,Time,232
1706878747,4276,/charts,Logged In,free,42,Thorntonton,P6R 2H2,SK,Mozilla/5.0 (compatible; MSIE 7.0; Windows NT 5.2; Trident/4.0),60.961069,58.371386,73374.0,Thompson,Joseph,M,1708773378.0,Frank Sinatra,The Way You Look Tonight,211
1707918122,1174,/albums,Logged In,paid,25,North Cynthia,84590,HI,Opera/8.70.(X11; Linux i686; nr-ZA) Presto/2.9.182 Version/11.00,118.457331,-74.65501,67139.0,Johnson,Katherine,M,1709118466.0,Ed Sheeran,Thinking Out Loud,182
1704408962,1704,/songs,Logged Out,free,55,Soheit-Tinlot,,,"Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_5_2 rv:3.0; tr-CY) AppleWebKit/533.37.4 (KHTML, like Gecko) Version/5.1 Safari/533.37.4",166.492704,-73.3464505,,,,,,Adele,Someone Like You,185
1707978694,1269,/playlists,Logged In,free,53,Lauraton,93739,PA,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/534.1 (KHTML, like Gecko) Chrome/39.0.823.0 Safari/534.1",-6.696314,32.534303,22042.0,Howard,Mary,M,1708339960.0,Beyoncé,Formation,228
1706842125,8464,/playlists,Logged In,paid,81,Alvarezton,B2X6E6,ON,Mozilla/5.0 (compatible; MSIE 5.0; Windows 95; Trident/4.1),-95.78613,57.1778745,12909.0,Ruiz,Antonio,M,1704554949.0,Michael Jackson,Smooth Criminal,269
1705481538,2605,/explore,Logged Out,free,82,Renard,,,"Mozilla/5.0 (iPhone; CPU iPhone OS 4_2_1 like Mac OS X) AppleWebKit/532.2 (KHTML, like Gecko) FxiOS/10.2e6759.0 Mobile/45H235 Safari/532.2",148.282706,-50.353508,,,,,,Madonna,Vogue,201
1708598864,2127,/albums,Logged In,free,53,Rocha,06695-325-204,SE,"Mozilla/5.0 (Macintosh; U; PPC Mac OS X 10_8_7 rv:5.0; om-KE) AppleWebKit/533.7.4 (KHTML, like Gecko) Version/5.0.2 Safari/533.7.4",111.166602,-84.167667,66880.0,Robinson,Richard,M,1704145909.0,Michael Jackson,Billie Jean,242
1707346244,5269,/new-releases,Logged Out,free,51,Mcdowellview,,AZ,"Mozilla/5.0 (Macintosh; PPC Mac OS X 10_10_7) AppleWebKit/535.0 (KHTML, like Gecko) Chrome/39.0.820.0 Safari/535.0",73.767245,79.1867405,,,,,,Pink Floyd,Money,221
1706111726,9564,/new-releases,Logged Out,free,42,East Natalieview,,HI,Mozilla/5.0 (compatible; MSIE 8.0; Windows NT 6.1; Trident/3.1),116.049454,25.752954,,,,,,Elvis Presley,Suspicious Minds,183
1705094173,5849,/charts,Logged In,free,22,Sainte René,48845,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_7_7) AppleWebKit/534.2 (KHTML, like Gecko) Chrome/35.0.879.0 Safari/534.2",-95.002763,1.932063,27286.0,Reed,David,F,1707735332.0,Frank Sinatra,Fly Me to the Moon,254
1704181191,6203,/playlists,Logged In,paid,45,Wasmes-Audemez-Briffoeil,9826,,Opera/9.22.(X11; Linux x86_64; ro-RO) Presto/2.9.190 Version/11.00,-97.314109,-50.3665205,40009.0,Young,Robin,M,1707422963.0,Mariah Carey,We Belong Together,299
1706733762,6159,/new-releases,Logged Out,free,11,Pacheco,,RN,"Mozilla/5.0 (Linux; Android 3.2) AppleWebKit/531.0 (KHTML, like Gecko) Chrome/46.0.852.0 Safari/531.0",-38.197586,-84.3174665,,,,,,Mariah Carey,Fantasy,194
1707940003,6145,/new-releases,Logged Out,free,12,Vedrin,,,"Mozilla/5.0 (Macintosh; U; PPC Mac OS X 10_11_7 rv:4.0; os-RU) AppleWebKit/534.22.2 (KHTML, like Gecko) Version/5.0.1 Safari/534.22.2",146.878515,-51.4422595,,,,,,Bruce Springsteen,Thunder Road,191
1704641617,2312,/songs,Logged Out,free,47,Jonesland,,NU,"Mozilla/5.0 (Macintosh; U; PPC Mac OS X 10_6_7) AppleWebKit/532.2 (KHTML, like Gecko) Chrome/48.0.844.0 Safari/532.2",-32.652101,-29.705061,,,,,,Bruce Springsteen,Born to Run,282
1704102514,6022,/playlists,Logged In,paid,49,South Michaelhaven,12515,MA,Mozilla/5.0 (Android 3.2.2; Mobile; rv:48.0) Gecko/48.0 Firefox/48.0,28.690806,34.7737535,10159.0,Torres,Robert,F,1704549804.0,Adele,Set Fire to the Rain,199
1707054173,3726,/explore,Logged In,paid,56,Whitneyshire,E6V9K1,PE,"Mozilla/5.0 (Windows NT 5.0) AppleWebKit/535.0 (KHTML, like Gecko) Chrome/14.0.829.0 Safari/535.0",-179.197274,49.645678,12045.0,Ruiz,Phillip,M,1707685023.0,Ed Sheeran,Photograph,191
1708954748,7141,/charts,Logged In,free,27,Jonesburgh,30247,IN,Opera/9.57.(X11; Linux i686; ti-ET) Presto/2.9.160 Version/12.00,1.100243,31.846143,54451.0,Reyes,Lindsay,M,1704515532.0,Adele,Rolling in the Deep,194
1707487708,4125,/new-releases,Logged Out,free,14,Godard,,,"Mozilla/5.0 (Linux; Android 10) AppleWebKit/533.0 (KHTML, like Gecko) Chrome/24.0.858.0 Safari/533.0",-137.828846,61.661454,,,,,,Taylor Swift,Lover,222
1707196809,5752,/new-releases,Logged Out,free,62,Loribury,,NH,Opera/8.64.(Windows NT 5.1; af-ZA) Presto/2.9.190 Version/11.00,-50.582178,-22.0276255,,,,,,Michael Jackson,Smooth Criminal,269
1705138944,4914,/songs,Logged Out,free,67,Melo de Casa Grande,,ES,"Mozilla/5.0 (iPhone; CPU iPhone OS 17_3 like Mac OS X) AppleWebKit/531.0 (KHTML, like Gecko) CriOS/33.0.823.0 Mobile/50Y592 Safari/531.0",111.401646,69.5810015,,,,,,Beyoncé,Formation,228
1707931329,8085,/songs,Logged Out,free,85,Gay-sur-Fernandes,,,"Mozilla/5.0 (iPod; U; CPU iPhone OS 3_1 like Mac OS X; tg-TJ) AppleWebKit/532.39.4 (KHTML, like Gecko) Version/4.0.5 Mobile/8B114 Safari/6532.39.4",-121.451975,48.438029,,,,,,Led Zeppelin,Stairway to Heaven,183
1705211388,9132,/albums,Logged In,paid,46,Imbert-la-Forêt,87446,,Opera/8.28.(Windows NT 5.1; uz-UZ) Presto/2.9.187 Version/11.00,-62.009638,-59.5871285,64675.0,Jennings,Frank,F,1704320245.0,Whitney Houston,Greatest Love of All,300
1707684898,8858,/new-releases,Logged Out,free,27,Carlier,,,Mozilla/5.0 (compatible; MSIE 5.0; Windows 95; Trident/4.0),-132.987144,20.6858995,,,,,,Rihanna,Diamonds,199
1704616632,6229,/songs,Logged In,paid,70,Fernandeztown,18376,TN,"Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_9_1 rv:2.0; gd-GB) AppleWebKit/531.6.5 (KHTML, like Gecko) Version/5.0.1 Safari/531.6.5",-41.276344,-60.4223075,69579.0,Day,Tracy,F,1707869759.0,Ed Sheeran,Perfect,241
1705607679,9671,/discover,Logged In,paid,34,Ramirezbury,50840,MS,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_9) AppleWebKit/531.0 (KHTML, like Gecko) Chrome/55.0.817.0 Safari/531.0",-38.176968,13.158905,97777.0,Hunter,Matthew,M,1708166638.0,The Rolling Stones,Paint It Black,182
1705124503,3106,/new-releases,Logged Out,free,96,Sainte Stéphaneboeuf,,,"Mozilla/5.0 (iPod; U; CPU iPhone OS 3_3 like Mac OS X; ps-AF) AppleWebKit/535.4.3 (KHTML, like Gecko) Version/3.0.5 Mobile/8B115 Safari/6535.4.3",-124.063084,49.774601,,,,,,Elton John,Your Song,217
1707301517,5691,/songs,Logged Out,free,13,Bornem,,,"Mozilla/5.0 (Windows; U; Windows NT 5.0) AppleWebKit/532.12.6 (KHTML, like Gecko) Version/4.0.4 Safari/532.12.6",-31.383275,60.618578,,,,,,Elton John,Your Song,217
1706796477,4791,/artists,Logged In,free,15,North Donnamouth,93087,ME,Mozilla/5.0 (X11; Linux i686; rv:1.9.7.20) Gecko/6843-05-10 09:56:37 Firefox/3.6.12,-40.643421,70.296127,42372.0,Johnson,Cheryl,M,1706936313.0,Taylor Swift,Shake It Off,253
1704140552,8730,/my-music,Logged In,paid,63,Beverlo,4649,,Opera/8.39.(X11; Linux i686; my-MM) Presto/2.9.165 Version/12.00,76.259151,12.9988745,33223.0,Tapia,Renee,F,1707465783.0,Pink Floyd,Wish You Were Here,273
1704563614,5934,/songs,Logged In,paid,68,East Christopherville,24437,GU,Opera/9.65.(Windows NT 5.2; hsb-DE) Presto/2.9.169 Version/11.00,72.716559,-74.3354335,16867.0,Horne,Alexis,F,1706163676.0,Madonna,Vogue,201
1707232323,4929,/explore,Logged In,paid,19,Lake Olivia,47333,NC,Mozilla/5.0 (Windows NT 11.0; ga-IE; rv:1.9.1.20) Gecko/6672-07-20 14:15:38 Firefox/4.0,-174.337412,-24.7621545,26538.0,Wright,Jeffrey,M,1707129692.0,Whitney Houston,I Will Always Love You,243
1705653918,1099,/my-music,Logged In,paid,89,Machado Paulista,64129-330-160,PA,Opera/9.11.(Windows NT 5.1; zu-ZA) Presto/2.9.179 Version/12.00,141.245117,-50.342466,99826.0,Dickerson,William,F,1708978153.0,Pink Floyd,Money,221
1707566377,5561,/explore,Logged Out,free,61,Rios da Praia,,MS,Mozilla/5.0 (compatible; MSIE 8.0; Windows 98; Win 9x 4.90; Trident/4.1),-1.824578,3.684169,,,,,,Rihanna,Umbrella,256
1706009355,8428,/explore,Logged Out,free,22,Fosterfurt,,SK,"Mozilla/5.0 (iPod; U; CPU iPhone OS 4_0 like Mac OS X; hy-AM) AppleWebKit/532.39.5 (KHTML, like Gecko) Version/3.0.5 Mobile/8B114 Safari/6532.39.5",-124.587388,-21.1855885,,,,,,The Beatles,Come Together,242
1707652903,5905,/new-releases,Logged Out,free,79,Port Morganburgh,,RI,Mozilla/5.0 (compatible; MSIE 5.0; Windows NT 6.1; Trident/5.0),-168.913094,73.0934885,,,,,,Adele,Someone Like You,185
1709111658,6440,/songs,Logged Out,free,64,Port Molly,,GU,Mozilla/5.0 (compatible; MSIE 7.0; Windows 98; Trident/5.1),-118.076766,-83.36057,,,,,,Bruce Springsteen,Born to Run,282
1704945009,6680,/charts,Logged In,paid,76,North Brittney,X3J 3N8,NL,"Mozilla/5.0 (iPad; CPU iPad OS 14_2 like Mac OS X) AppleWebKit/536.2 (KHTML, like Gecko) FxiOS/11.9k3052.0 Mobile/28K164 Safari/536.2",45.033531,-56.068834,86258.0,Hernandez,Brittany,F,1704093792.0,Bruce Springsteen,Born in the U.S.A.,293
1705304050,6976,/charts,Logged In,paid,34,New Kiaraburgh,63714,WA,Mozilla/5.0 (compatible; MSIE 5.0; Windows NT 6.1; Trident/4.0),-175.663712,-79.0215505,38563.0,Parks,Craig,F,1708308958.0,The Beatles,Let It Be,211
1705450123,7887,/new-releases,Logged Out,free,4,Port Stephanieville,,MT,Mozilla/5.0 (compatible; MSIE 6.0; Windows 98; Trident/5.1),165.692618,65.479369,,,,,,The Rolling Stones,(I Can’t Get No) Satisfaction,255
1706218982,9816,/songs,Logged Out,free,52,Haren-Tongeren,,,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_5_4; rv:1.9.3.20) Gecko/8347-12-14 11:59:19 Firefox/15.0,-101.960043,-1.345172,,,,,,David Bowie,Let’s Dance,219
1708859007,6608,/songs,Logged In,free,70,Borges,47577881-140,MS,Opera/8.92.(X11; Linux x86_64; rw-RW) Presto/2.9.189 Version/10.00,34.539637,47.2887945,10600.0,Stewart,Patrick,M,1705652789.0,Ed Sheeran,Castle on the Hill,251
1707788377,1899,/my-music,Logged In,paid,86,Caron,10246,,"Mozilla/5.0 (Windows NT 6.0) AppleWebKit/535.1 (KHTML, like Gecko) Chrome/42.0.865.0 Safari/535.1",128.359337,-69.344703,20434.0,Johnson,Deanna,M,1709111457.0,Ed Sheeran,Castle on the Hill,251
1706167055,3996,/explore,Logged Out,free,70,Massonboeuf,,,"Mozilla/5.0 (Windows NT 5.1) AppleWebKit/535.2 (KHTML, like Gecko) Chrome/43.0.896.0 Safari/535.2",-156.542627,38.9126305,,,,,,Beyoncé,Crazy in Love,263
1705656458,7045,/songs,Logged In,paid,73,Gomes,97307-992-277,RR,Mozilla/5.0 (Android 4.0.3; Mobile; rv:16.0) Gecko/16.0 Firefox/16.0,-33.202323,47.3707155,80160.0,Alexander,Beth,M,1707220015.0,Adele,Set Fire to the Rain,199
1705549823,7970,/artists,Logged In,free,54,Fogaça,00339-287-820,PA,Mozilla/5.0 (compatible; MSIE 8.0; Windows 95; Trident/3.0),-0.339112,-47.127392,10609.0,King,Keith,M,1705879411.0,Adele,Hello,180
1707479539,7893,/artists,Logged In,paid,48,Christinaside,40986,NV,Mozilla/5.0 (X11; Linux i686; rv:1.9.6.20) Gecko/2789-05-07 09:52:06 Firefox/3.6.3,150.825511,-17.1705045,71822.0,Nolan,Melissa,F,1708010329.0,Michael Jackson,Beat It,244
1705852078,9647,/albums,Logged In,paid,3,North Derek,87511,MP,Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.1; Trident/4.0),-34.587475,-68.1055395,53341.0,Dickson,Hunter,F,1708826524.0,Adele,Rolling in the Deep,194
1704852064,2858,/charts,Logged In,free,59,Vieira de Goiás,39062278-900,AC,Mozilla/5.0 (compatible; MSIE 8.0; Windows CE; Trident/5.1),-78.668051,-63.053607,5383.0,Gordon,Stefanie,M,1705369678.0,Beyoncé,Single Ladies,246
1704377823,2269,/artists,Logged In,free,92,Mendonça Paulista,34861-261-893,MS,Opera/8.43.(Windows NT 5.01; hy-AM) Presto/2.9.184 Version/10.00,56.48832,-2.207773,77333.0,Kerr,Cody,M,1708353560.0,David Bowie,Space Oddity,242
1707240284,3443,/discover,Logged In,free,60,Huntstad,S1Y5G8,NS,"Mozilla/5.0 (iPad; CPU iPad OS 17_2 like Mac OS X) AppleWebKit/536.2 (KHTML, like Gecko) FxiOS/16.9g6618.0 Mobile/20D333 Safari/536.2",-164.49699,4.1650535,67666.0,Juarez,Vanessa,M,1707966595.0,Whitney Houston,How Will I Know,264
1704834276,9901,/explore,Logged In,paid,36,Tinaborough,G9T 4J1,SK,Mozilla/5.0 (compatible; MSIE 8.0; Windows NT 5.0; Trident/5.1),-132.389585,74.8952485,18789.0,Young,Thomas,F,1705568231.0,Bruce Springsteen,Born to Run,282
1708132094,2230,/new-releases,Logged Out,free,53,Sainte AlexandrieBourg,,,"Mozilla/5.0 (iPhone; CPU iPhone OS 17_1 like Mac OS X) AppleWebKit/533.2 (KHTML, like Gecko) FxiOS/11.1q5334.0 Mobile/21V855 Safari/533.2",50.527816,-18.8984315,,,,,,Elton John,Tiny Dancer,199
1708573219,4897,/playlists,Logged In,paid,97,Guirsch,9227,,Opera/8.73.(X11; Linux i686; wal-ET) Presto/2.9.180 Version/10.00,-48.124509,49.700499,55551.0,Giles,Mary,M,1708732883.0,Led Zeppelin,Kashmir,253
1707557855,6167,/songs,Logged In,paid,21,Beervelde,5917,,Mozilla/5.0 (Android 4.4.3; Mobile; rv:47.0) Gecko/47.0 Firefox/47.0,-168.096235,-10.4130245,96617.0,Willis,Jacqueline,M,1705932324.0,The Beatles,Yesterday,233
